from_position,to_position,distance
B00F-0L-2,B00N-0A-1,109.921
B00F-0L-2,B00N-0A-2,117.421
B00F-0L-1,B00N-0A-2,109.921
B00F-0L-1,B00N-0A-1,102.421
B00F-0L-2,B00N-0B-1,108.577
B00F-0L-2,B00N-0B-2,116.077
B00F-0L-1,B00N-0B-2,108.577
B00F-0L-1,B00N-0B-1,101.077
B00F-0L-2,B00N-0C-1,106.557
B00F-0L-2,B00N-0C-2,114.057
B00F-0L-1,B00N-0C-2,106.557
B00F-0L-1,B00N-0C-1,99.057
B00F-0L-2,B00N-0D-1,104.409
B00F-0L-2,B00N-0D-2,111.909
B00F-0L-1,B00N-0D-2,104.409
B00F-0L-1,B00N-0D-1,96.9085
B00F-0L-2,B00N-0E-1,102.549
B00F-0L-2,B00N-0E-2,110.049
B00F-0L-1,B00N-0E-2,102.549
B00F-0L-1,B00N-0E-1,95.0491
B00F-0L-2,B00N-0F-1,100.606
B00F-0L-2,B00N-0F-2,108.106
B00F-0L-1,B00N-0F-2,100.606
B00F-0L-1,B00N-0F-1,93.1064
B00F-0L-2,B00N-0G-1,98.4054
B00F-0L-2,B00N-0G-2,105.905
B00F-0L-1,B00N-0G-2,98.4054
B00F-0L-1,B00N-0G-1,90.9054
B00F-0L-2,B00N-0H-1,96.4495
B00F-0L-2,B00N-0H-2,103.95
B00F-0L-1,B00N-0H-2,96.4495
B00F-0L-1,B00N-0H-1,88.9495
B00F-0L-2,B00N-0I-1,94.4733
B00F-0L-2,B00N-0I-2,101.973
B00F-0L-1,B00N-0I-2,94.4733
B00F-0L-1,B00N-0I-1,86.9733
B00F-0L-2,B00N-0J-1,92.5764
B00F-0L-2,B00N-0J-2,100.076
B00F-0L-1,B00N-0J-2,92.5764
B00F-0L-1,B00N-0J-1,85.0764
B00F-0L-2,B00N-0K-1,90.5074
B00F-0L-2,B00N-0K-2,98.0074
B00F-0L-1,B00N-0K-2,90.5074
B00F-0L-1,B00N-0K-1,83.0074
B00F-0L-2,B00N-0L-1,88.3111
B00F-0L-2,B00N-0L-2,95.8111
B00F-0L-1,B00N-0L-2,88.3111
B00F-0L-1,B00N-0L-1,80.8111
B00F-0L-2,B00O-0A-1,88.5675
B00F-0L-2,B00O-0A-2,96.0675
B00F-0L-1,B00O-0A-2,88.5675
B00F-0L-1,B00O-0A-1,81.0675
B00F-0L-2,B00O-0B-1,90.8454
B00F-0L-2,B00O-0B-2,98.3454
B00F-0L-1,B00O-0B-2,90.8454
B00F-0L-1,B00O-0B-1,83.3454
B00F-0L-2,B00O-0C-1,93.2462
B00F-0L-2,B00O-0C-2,100.746
B00F-0L-1,B00O-0C-2,93.2462
B00F-0L-1,B00O-0C-1,85.7462
B00F-0L-2,B00O-0D-1,95.2754
B00F-0L-2,B00O-0D-2,102.775
B00F-0L-1,B00O-0D-2,95.2754
B00F-0L-1,B00O-0D-1,87.7754
B00F-0L-2,B00O-0E-1,97.1977
B00F-0L-2,B00O-0E-2,104.698
B00F-0L-1,B00O-0E-2,97.1977
B00F-0L-1,B00O-0E-1,89.6977
B00F-0L-2,B00O-0F-1,95.0811
