#0
1	0	0	76.4373
0	1	0	90.8328
0	0	1	0
0	0	0	1
#1
1	0	0	76.5492
0	1	0	81.8378
0	0	1	0
0	0	0	1
#10
1	0	0	71.714
0	1	0	93.5205
0	0	1	0
0	0	0	1
#100
1	0	0	14.5469
0	1	0	89.0596
0	0	1	0
0	0	0	1
#101
1	0	0	14.1642
0	1	0	81.7809
0	0	1	0
0	0	0	1
#102
1	0	0	14.4114
0	1	0	92.9638
0	0	1	0
0	0	0	1
#103
1	0	0	14.4479
0	1	0	102.051
0	0	1	0
0	0	0	1
#104
1	0	0	12.4942
0	1	0	88.7474
0	0	1	0
0	0	0	1
#105
1	0	0	12.3117
0	1	0	82.3141
0	0	1	0
0	0	0	1
#106
1	0	0	12.32
0	1	0	93.3715
0	0	1	0
0	0	0	1
#107
1	0	0	12.6398
0	1	0	102.444
0	0	1	0
0	0	0	1
#108
1	0	0	10.4322
0	1	0	89.1761
0	0	1	0
0	0	0	1
#109
1	0	0	10.3126
0	1	0	82.3854
0	0	1	0
0	0	0	1
#11
1	0	0	71.3507
0	1	0	102.568
0	0	1	0
0	0	0	1
#110
1	0	0	10.3563
0	1	0	92.8772
0	0	1	0
0	0	0	1
#111
1	0	0	10.1191
0	1	0	102.742
0	0	1	0
0	0	0	1
#112
1	0	0	8.17922
0	1	0	89.1695
0	0	1	0
0	0	0	1
#113
1	0	0	8.06907
0	1	0	82.6096
0	0	1	0
0	0	0	1
#114
1	0	0	8.28634
0	1	0	93.3189
0	0	1	0
0	0	0	1
#115
1	0	0	8.19871
0	1	0	102.297
0	0	1	0
0	0	0	1
#116
1	0	0	6.03855
0	1	0	88.8847
0	0	1	0
0	0	0	1
#117
1	0	0	5.99699
0	1	0	82.8412
0	0	1	0
0	0	0	1
#118
1	0	0	6.27513
0	1	0	93.434
0	0	1	0
0	0	0	1
#119
1	0	0	6.21684
0	1	0	102.287
0	0	1	0
0	0	0	1
#12
1	0	0	69.4749
0	1	0	90.4599
0	0	1	0
0	0	0	1
#120
1	0	0	4.22388
0	1	0	88.8807
0	0	1	0
0	0	0	1
#121
1	0	0	4.19522
0	1	0	83.019
0	0	1	0
0	0	0	1
#122
1	0	0	4.17744
0	1	0	93.1571
0	0	1	0
0	0	0	1
#123
1	0	0	4.13111
0	1	0	102.286
0	0	1	0
0	0	0	1
#124
1	0	0	2.26554
0	1	0	88.9016
0	0	1	0
0	0	0	1
#125
1	0	0	2.21607
0	1	0	83.0181
0	0	1	0
0	0	0	1
#126
1	0	0	2.33587
0	1	0	93.0295
0	0	1	0
0	0	0	1
#127
1	0	0	2.07097
0	1	0	101.988
0	0	1	0
0	0	0	1
#128
1	0	0	2.29209
0	1	0	72.0719
0	0	1	0
0	0	0	1
#129
1	0	0	2.38277
0	1	0	79.2319
0	0	1	0
0	0	0	1
#13
1	0	0	69.63
0	1	0	82.1225
0	0	1	0
0	0	0	1
#130
1	0	0	2.13776
0	1	0	67.5093
0	0	1	0
0	0	0	1
#131
1	0	0	2.0294
0	1	0	59.2922
0	0	1	0
0	0	0	1
#132
1	0	0	4.44026
0	1	0	71.652
0	0	1	0
0	0	0	1
#133
1	0	0	4.60523
0	1	0	79.5705
0	0	1	0
0	0	0	1
#134
1	0	0	4.40627
0	1	0	67.717
0	0	1	0
0	0	0	1
#135
1	0	0	4.41568
0	1	0	59.3622
0	0	1	0
0	0	0	1
#136
1	0	0	6.58257
0	1	0	72.1852
0	0	1	0
0	0	0	1
#137
1	0	0	6.61475
0	1	0	79.7949
0	0	1	0
0	0	0	1
#138
1	0	0	6.71832
0	1	0	67.781
0	0	1	0
0	0	0	1
#139
1	0	0	6.44292
0	1	0	59.3826
0	0	1	0
0	0	0	1
#14
1	0	0	69.4662
0	1	0	93.7729
0	0	1	0
0	0	0	1
#140
1	0	0	8.66755
0	1	0	72.2593
0	0	1	0
0	0	0	1
#141
1	0	0	8.99623
0	1	0	79.4529
0	0	1	0
0	0	0	1
#142
1	0	0	8.22093
0	1	0	67.7803
0	0	1	0
0	0	0	1
#143
1	0	0	8.41157
0	1	0	59.2695
0	0	1	0
0	0	0	1
#144
1	0	0	10.2927
0	1	0	71.9874
0	0	1	0
0	0	0	1
#145
1	0	0	10.5802
0	1	0	79.1507
0	0	1	0
0	0	0	1
#146
1	0	0	10.1715
0	1	0	67.9542
0	0	1	0
0	0	0	1
#147
1	0	0	10.5957
0	1	0	59.4708
0	0	1	0
0	0	0	1
#148
1	0	0	12.6613
0	1	0	71.6419
0	0	1	0
0	0	0	1
#149
1	0	0	12.8877
0	1	0	78.9621
0	0	1	0
0	0	0	1
#15
1	0	0	69.1625
0	1	0	102.732
0	0	1	0
0	0	0	1
#150
